food_name,food_category,edible_part,calorie,protein,fat,carbohydrate
炼乳（甜，罐头）,乳类及其制品-其他,100.0,332.0,8.0,8.7,55.4
奶皮子,乳类及其制品-其他,100.0,460.0,12.2,42.9,6.3
奶片,乳类及其制品-其他,100.0,472.0,13.3,20.2,59.3
全脂甜炼乳（雀巢）,乳类及其制品-其他,100.0,380.0,7.5,10.0,64.9
全脂甜炼乳（燕山牌）,乳类及其制品-其他,100.0,374.0,8.2,10.0,62.8
脱脂甜炼乳,乳类及其制品-其他,100.0,275.0,10.3,0.2,58.0
蛋白粉（益力健乳铁乳清蛋白粉）,乳类及其制品-其他,100.0,425.0,50.0,12.5,28.0
牛初乳奶片（纽瑞滋牛初乳咀嚼奶片）,乳类及其制品-其他,100.0,347.0,27.0,4.5,49.5
奶渣,乳类及其制品-其他,100.0,381.0,44.4,4.2,41.3
奶油,乳类及其制品-奶油,100.0,879.0,0.7,97.0,0.9
奶油（焦克）,乳类及其制品-奶油,100.0,447.0,3.0,48.3,0.0
奶油（食品工业）,乳类及其制品-奶油,100.0,504.0,1.1,55.5,0.0
黄油,乳类及其制品-奶油,100.0,888.0,1.4,98.0,0.0
黄油渣,乳类及其制品-奶油,100.0,599.0,11.1,43.8,40.0
白脱（食品工业）[牛油、黄油],乳类及其制品-奶油,100.0,744.0,0.0,82.7,0.0
酥油,乳类及其制品-奶油,100.0,860.0,1.5,94.4,1.1
酥油茶（原味）,乳类及其制品-奶油,100.0,465.0,3.0,17.7,73.3
全脂奶粉（多维奶粉）,乳类及其制品-奶粉,100.0,484.0,19.9,22.7,49.9
全脂奶粉（代表值）,乳类及其制品-奶粉,100.0,482.0,19.9,22.3,50.5
全脂奶粉,乳类及其制品-奶粉,100.0,478.0,20.1,21.2,51.7
全脂奶粉（速溶）,乳类及其制品-奶粉,100.0,466.0,19.9,18.9,54.0
全脂奶粉（雀巢）,乳类及其制品-奶粉,100.0,504.0,24.0,28.0,39.0
全脂奶粉（伊利牌）,乳类及其制品-奶粉,100.0,504.0,22.0,26.0,45.5
全脂奶粉(红星速溶加锌奶粉),乳类及其制品-奶粉,100.0,478.0,18.5,20.8,54.1
全脂奶粉（欧世蒙牛多维高钙高铁奶粉）,乳类及其制品-奶粉,100.0,473.0,18.2,21.7,51.1
全脂奶粉（雪花钙加锌调制奶粉）,乳类及其制品-奶粉,100.0,461.0,17.0,19.0,55.5
全脂奶粉（雪花高钙多维调制奶粉）,乳类及其制品-奶粉,100.0,484.0,19.5,22.0,52.0
全脂甜奶粉（代表值）,乳类及其制品-奶粉,100.0,485.0,20.2,22.9,49.6
全脂甜奶粉,乳类及其制品-奶粉,100.0,490.0,22.5,23.4,47.4
全脂甜奶粉（伊利牌）,乳类及其制品-奶粉,100.0,476.0,19.0,21.0,52.8
全脂甜奶粉(飞鹤全脂甜乳粉),乳类及其制品-奶粉,100.0,479.0,20.0,23.0,48.0
全脂甜奶粉（红星速溶全脂甜奶粉）,乳类及其制品-奶粉,100.0,481.0,18.5,23.0,50.0
全脂甜奶粉（三元燕山牌全脂甜奶粉）,乳类及其制品-奶粉,100.0,500.0,21.0,24.0,50.0
"低脂奶粉(代表值,高钙高铁)",乳类及其制品-奶粉,100.0,425.0,23.7,11.9,55.9
"低脂奶粉（高钙高铁,雀巢）",乳类及其制品-奶粉,100.0,413.0,27.0,11.7,50.0
"低脂奶粉（高钙高铁,伊利牌）",乳类及其制品-奶粉,100.0,423.0,27.0,11.0,53.9
"低脂奶粉（高钙高铁,可淇牌）",乳类及其制品-奶粉,100.0,437.0,17.0,13.0,63.0
全脂奶粉（全脂羊乳粉）,乳类及其制品-奶粉,100.0,498.0,18.8,25.2,49.0
"驴奶粉（花麒牌,西域龙驴奶粉）",乳类及其制品-奶粉,100.0,442.0,20.1,12.4,62.4
驴奶粉（金驴龙奶）,乳类及其制品-奶粉,100.0,416.0,14.8,8.2,70.8
"驴奶粉(源西域牌,冻干特质)",乳类及其制品-奶粉,100.0,428.0,19.3,12.3,60.0
"驼奶粉(花麒牌,西域龙驼奶粉)",乳类及其制品-奶粉,100.0,528.0,20.2,30.4,43.4
驼奶粉(天山牧歌牌),乳类及其制品-奶粉,100.0,513.0,16.7,28.6,47.1
"驼奶粉(旺源牌,全脂驼乳粉)",乳类及其制品-奶粉,100.0,545.0,21.3,34.6,37.0
儿童配方奶粉(代表值),乳类及其制品-奶粉,100.0,454.0,19.0,17.3,56.1
"儿童配方奶粉(安儿健A+,美赞臣)",乳类及其制品-奶粉,100.0,428.0,17.9,11.1,64.0
"儿童配方奶粉(适体健,美赞臣)",乳类及其制品-奶粉,100.0,417.0,16.0,9.0,68.0
儿童配方奶粉(惠氏),乳类及其制品-奶粉,100.0,451.0,17.0,15.0,62.0
儿童配方奶粉(可淇牌),乳类及其制品-奶粉,100.0,457.0,17.0,17.0,59.0
儿童配方奶粉(完达山牌),乳类及其制品-奶粉,100.0,458.0,17.0,18.0,57.0
儿童配方奶粉(贝因美特选幼童配方奶粉4阶段),乳类及其制品-奶粉,100.0,473.0,18.0,19.5,56.6
儿童配方奶粉(多美滋优阶儿童配方奶粉),乳类及其制品-奶粉,100.0,406.0,19.6,10.0,59.4
儿童配方奶粉(惠氏金装学儿乐学龄前儿童配方奶粉),乳类及其制品-奶粉,100.0,442.0,17.0,16.0,58.9
儿童配方奶粉(美素佳儿GOLD金装儿童配方奶粉),乳类及其制品-奶粉,100.0,452.0,25.8,17.0,49.0
儿童配方奶粉(美赞臣安儿健儿童配方奶粉),乳类及其制品-奶粉,100.0,434.0,20.0,12.0,63.0
儿童配方奶粉(明治珍爱童儿童配方奶粉),乳类及其制品-奶粉,100.0,465.0,20.0,19.0,53.7
